ASCII,Unicode,Name,Code,Diakritisch
0,0,Digit Zero,U+0030,FALSCH
1,1,Digit One,U+0031,FALSCH
2,2,Digit Two,U+0032,FALSCH
3,3,Digit Three,U+0033,FALSCH
4,4,Digit Four,U+0034,FALSCH
5,5,Digit Five,U+0035,FALSCH
6,6,Digit Six,U+0036,FALSCH
7,7,Digit Seven,U+0037,FALSCH
8,8,Digit Eight,U+0038,FALSCH
9,9,Digit Nine,U+0039,FALSCH
 , ,Space (SP),U+0020,FALSCH
a,א,Hebrew Letter Alef,U+05D0,FALSCH
b,ב,Hebrew Letter Bet,U+05D1,FALSCH
c,צ,Hebrew Letter Tsadi,U+05E6,FALSCH
d,ד,Hebrew Letter Dalet,U+05D3,FALSCH
e,ֵ,Hebrew Point Tsere,U+05B5,WAHR
f,שׂ,Hebrew Letter Shin with Sin Dot,U+FB2B,FALSCH
g,ג,Hebrew Letter Gimel,U+05D2,FALSCH
h,ה,Hebrew Letter He,U+05D4,FALSCH
i,ִ,Hebrew Point Hiriq,U+05B4,WAHR
j,ט,Hebrew Letter Tet,U+05D8,FALSCH
k,כ,Hebrew Letter Kaf,U+05DB,FALSCH
l,ל,Hebrew Letter Lamed,U+05DC,FALSCH
m,מ,Hebrew Letter Mem,U+05DE,FALSCH
n,נ,Hebrew Letter Nun,U+05E0,FALSCH
o,ֹ,Hebrew Point Holam,U+05B9,WAHR
p,פ,Hebrew Letter Pe,U+05E4,FALSCH
q,ק,Hebrew Letter Qof,U+05E7,FALSCH
r,ר,Hebrew Letter Resh,U+05E8,FALSCH
s,ס,Hebrew Letter Samekh,U+05E1,FALSCH
t,ת,Hebrew Letter Tav,U+05EA,FALSCH
u,ֻ,Hebrew Point Qubuts,U+05BB,WAHR
v,שׁ,Hebrew Letter Shin with Shin Dot,U+FB2A,FALSCH
w,ו,Hebrew Letter Vav,U+05D5,FALSCH
x,ח,Hebrew Letter Het,U+05D7,FALSCH
y,י,Hebrew Letter Yod,U+05D9,FALSCH
z,ז,Hebrew Letter Zayin,U+05D6,FALSCH
A,וֹ,Hebrew Letter Vav with Holam,U+FB4B,FALSCH
B,בּ,Hebrew Letter Bet with Dagesh,U+FB31,FALSCH
C,צּ,Hebrew Letter Tsadi with Dagesh,U+FB46,FALSCH
D,דּ,Hebrew Letter Dalet with Dagesh,U+FB33,FALSCH
